hotel_id,city_id,city,hotel_name,user_rating,hotel_url,description,lat,lon
H073,C026,Aigues Mortes,Lou Mirèio,9.6,https://www.booking.com/hotel/fr/42-rue-pasteur.fr.html,"City view apartment with private parkingL’hébergement Lou Mirèio se situe à Aigues-Mortes, à respectivement 24 km et 28 km de ces lieux d’intérêt : Salle de concert Arena Montpellier et Zénith Sud Montpellier. Il propose une connexion Wi-Fi gratuite et la climatisation. Cet appartement 3 étoiles offre une vue sur la ville et est à 23 km de : Parc des expositions de Montpellier.

Cet appartement comporte 1 chambre, une cuisine avec un réfrigérateur et un four, ainsi que 1 salle de bains avec une douche, un sèche-cheveux et un lave-linge. Des serviettes et du linge de lit sont à disposition.

Vous séjournerez à respectivement 29 km et 31 km de ces lieux d’intérêt : Centre commercial régional Odysseum et Hôtel de ville de Montpellier. L'aéroport le plus proche (Aéroport Montpellier Méditerranée) est à 29 km.Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de9,9pour un séjour à deux.Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",43.566074978303,4.192578573016
H069,C026,Aigues Mortes,Appartements 3 étoiles terrasse ou patio intra-muros,9.6,https://www.booking.com/hotel/fr/appartement-3-etoiles-terrasse-intra-muros.fr.html,"L’établissement Appartements 3 étoiles terrasse ou patio intra-muros se trouve à Aigues-Mortes, à respectivement 23 km et 24 km de ces lieux d’intérêt : Parc des expositions de Montpellier et Salle de concert Arena Montpellier. Il propose une connexion Wi-Fi gratuite et offre une vue sur la ville.

Les hébergements comprennent la climatisation et une télévision à écran plat. Vous bénéficierez d’une kitchenette entièrement équipée avec un coin repas, ainsi que d’une salle de bains privative comportant une douche, des articles de toilette gratuits et un sèche-cheveux. Un réfrigérateur, un micro-ondes et une plaque de cuisson sont également disponibles, de même qu’une machine à café et une bouilloire.

Vous pourrez profiter d’une terrasse et d’un barbecue sur place, et pratiquer la randonnée ainsi que la pêche dans les environs.

Vous séjournerez à respectivement 28 km et 29 km de ces lieux d’intérêt : Zénith Sud Montpellier et Centre commercial régional Odysseum. L'aéroport le plus proche (Aéroport Montpellier Méditerranée) est à 29 km.Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de10,0pour un séjour à deux.Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",43.5653584,4.1927502
H089,C029,Carcassonne,Les Clés de Laure - Le 11 JACUZZI avec Terrasses Clim Netflix Parking,9.6,https://www.booking.com/hotel/fr/les-cles-de-laure-le-11-jacuzzi-avec-terrasses-clim-netflix-parking.fr.html,"L’hébergement Les Clés de Laure - Le 11 JACUZZI avec Terrasses Clim Netflix Parking vous accueille à respectivement 50 km et 200 mètres de ces lieux d’intérêt : Termes Chateau et Memorial House (Maison des Memoires). Il comprend une connexion Wi-Fi gratuite et une terrasse. Cet appartement est à respectivement 500 mètres et 1,5 km de : Cathédrale Saint-Michel de Carcassonne et Comtal Castle.

Cet appartement avec climatisation comporte 1 chambre, ainsi que 1 salle de bains avec une douche, un bain à remous et un sèche-cheveux. La cuisine est pourvue d’un réfrigérateur, d’un lave-vaisselle et d’un four. Elle est également dotée d’une machine à café et d’une bouilloire.

L’établissement Les Clés de Laure - Le 11 JACUZZI avec Terrasses Clim Netflix Parking possède un spa et centre de bien-être qui dispose d’un bain à remous.

L'aéroport le plus proche (Aéroport de Carcassonne) est à 3 km.Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de10,0pour un séjour à deux.Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",43.212621,2.3542167
H029,C020,Cassis,"L’Aiguade, appartement d'exception à Cassis",9.6,https://www.booking.com/hotel/fr/aiguade-appartement-d-exception-a-cassis.fr.html,"Vous pouvez peut-être bénéficier d’une réduction Genius dans l’établissement L’Aiguade, appartement d'exception à Cassis.Connectez-vouspour voir si une réduction Genius est disponible à vos dates.Les réductions Genius proposées par cet établissement dépendent des dates de réservation, des dates de séjour et des autres offres disponibles.L’hébergement L’Aiguade, appartement d'exception à Cassis offre une vue sur le jardin, à environ 800 mètres de ce lieu d’intérêt : Plage de la Grande Mer. Il propose un balcon et une machine à café. Cet appartement comprend un jardin, un barbecue, une connexion Wi-Fi gratuite et un parking privé gratuit.

Disposant d’une terrasse et offrant une vue sur la mer, cet appartement comprend 1 chambre, un salon, une télévision à écran plat par câble, une cuisine équipée, ainsi que 1 salle de bains avec une douche et une baignoire. Des serviettes et du linge de lit sont mis à votre disposition.

Vous séjournerez à respectivement 20 km et 20 km de ces lieux d’intérêt : Orange Vélodrome et Métro Rond-point du Prado. L'aéroport le plus proche (Aéroport de Marseille Provence) est à 46 km.Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de10pour un séjour à deux.Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",43.2141154,5.5338211
H088,C029,Carcassonne,Le Jardin de La Tour Pinte,9.5,https://www.booking.com/hotel/fr/le-jardin-de-la-tour-pinte.fr.html,"Vous pouvez peut-être bénéficier d’une réduction Genius dans l’établissement Le Jardin de La Tour Pinte.Connectez-vouspour voir si une réduction Genius est disponible à vos dates.Les réductions Genius proposées par cet établissement dépendent des dates de réservation, des dates de séjour et des autres offres disponibles.L’hébergement Le Jardin de La Tour Pinte offre une vue sur le jardin, à environ 50 km de ce lieu d’intérêt : Termes Chateau. Il propose un balcon et une bouilloire. Cet hébergement offre une vue sur la ville et comprend un jardin, une terrasse ainsi qu’une connexion Wi-Fi gratuite dans l’ensemble de ses locaux.

Cet appartement avec climatisation se compose de 3 chambres, d'un salon, d'une cuisine entièrement équipée avec un réfrigérateur et une machine à café, ainsi que de 2 salles de bains avec une douche et des articles de toilette gratuits. Des serviettes et du linge de lit sont disponibles.

L’établissement propose un service de location de vélos, et vous pourrez pratiquer la randonnée et le vélo.

Vous séjournerez à proximité de ces lieux d’intérêt : Memorial House (Maison des Memoires), Comtal Castle et Cathédrale Saint-Michel de Carcassonne. L'aéroport le plus proche (Aéroport de Carcassonne) est à 5 km.Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",43.2076468,2.361746
H060,C028,Collioure,"Apartment Olive & Kin, Collioure",9.5,https://www.booking.com/hotel/fr/residence-port-d-39-avall.fr.html,"Situé à Collioure, l’hébergement Apartment Olive & Kin, Collioure offre une vue sur le jardin. Il propose une piscine extérieure ouverte en saison, un jardin, une terrasse et une connexion Wi-Fi gratuite. Cet appartement comprend un parking privé gratuit et se trouve dans une région où vous pourrez pratiquer des activités telles que la randonnée, la pêche et le ping-pong.

Cet appartement avec climatisation se compose de 2 chambres, d'un salon, d'une cuisine entièrement équipée avec un réfrigérateur et une machine à café, ainsi que de 1 salle de bains avec une douche et des articles de toilette gratuits. Des serviettes et du linge de lit sont disponibles.

Vous pourrez jouer au tennis sur place, et pratiquer la plongée avec tuba et le vélo dans les environs.

Vous séjournerez à respectivement 500 mètres et 800 mètres de ces lieux d’intérêt : Plage Boutigue et Château Royal de Collioure. L'aéroport le plus proche (Aéroport de Perpignan - Rivesaltes) est à 42 km.Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de9,9pour un séjour à deux.Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",42.522267294742,3.088695332819
H032,C020,Cassis,"Magnifique Appartement à Cassis,Parking,2 pas du Port",9.5,https://www.booking.com/hotel/fr/magnifique-appartement-cassis-pres-du-port.fr.html,"L’hébergement Magnifique Appartement à Cassis, Parking,2 pas du Port vous accueille à Cassis, à 500 mètres de ce lieu d’intérêt : Plage de la Grande Mer. Il comprend une terrasse, une connexion Wi-Fi gratuite et une réception ouverte 24h/24. Cet appartement possède un parking privé gratuit et se trouve dans une région où vous pourrez pratiquer des activités telles que la randonnée et le vélo.

Cet appartement avec climatisation se compose de 1 chambre, d'un salon, d'une cuisine entièrement équipée avec un réfrigérateur et une machine à café, ainsi que de 1 salle de bains avec une douche et un sèche-cheveux. Des serviettes et du linge de lit sont à votre disposition.

Vous séjournerez à respectivement 19 km et 20 km de ces lieux d’intérêt : Orange Vélodrome et Métro Rond-point du Prado. L'aéroport le plus proche (Aéroport de Marseille Provence) est à 45 km.Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de9,9pour un séjour à deux.Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",43.216323,5.536496
H033,C020,Cassis,"AQUARIUS IN CASSIS, Chambres d'Hôtes",9.5,https://www.booking.com/hotel/fr/aquarius-in-cassis-chambres-d-hotes.fr.html,"L’établissement AQUARIUS IN CASSIS, Chambres d'Hôtes se situe à Cassis, à 1,2 km de ce lieu d’intérêt : Plage du Bestouan. Il possède une piscine extérieure, un jardin, une terrasse et un parking privé gratuit. Il est installé à respectivement 19 km, 20 km et 21 km de : Métro Rond-point du Prado, Palais des congrès et des expositions Marseille Chanot et Métro La Timone. Cet établissement non-fumeurs se trouve à 19 km de : Orange Vélodrome.

Les hébergements sont dotés d’une machine à café. Vous bénéficierez d’une salle de bains privative avec une douche et des articles de toilette gratuits. Tous les hébergements comportent une connexion Wi-Fi gratuite et certains offrent une vue sur la montagne. Vous profiterez de la climatisation et d'un coffre-fort.

L’établissement AQUARIUS IN CASSIS, Chambres d'Hôtes sert un petit-déjeuner continental ou sans gluten.

Lors de votre séjour, vous pourrez pratiquer diverses activités à Cassis et dans les environs, telles que la randonnée, la pêche et la plongée avec tuba.

Vous séjournerez à respectivement 22 km et 23 km de ces lieux d’intérêt : Métro Castellane et Basilique Notre-Dame de la Garde. L'aéroport le plus proche (Aéroport de Marseille Provence) est à 45 km.Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de9,4pour un séjour à deux.Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",43.2223547,5.5345386
H030,C020,Cassis,Bestouan - 3 Chambres - Clim - Spacieux,9.5,https://www.booking.com/hotel/fr/le-bestouan.fr.html,"Offrant une vue sur la mer, l’hébergement Bestouan - 3 Chambres - Clim - Spacieux possède une terrasse et un balcon, à environ 20 km de ce lieu d’intérêt : Orange Vélodrome. Cet hébergement avec climatisation est installé à 400 mètres de : Plage du Bestouan. Vous pourrez profiter d'un parking privé disponible sur place et d'une connexion Wi-Fi gratuite.

Cet appartement compte 3 chambres, une cuisine avec un réfrigérateur et un lave-vaisselle, une télévision à écran plat, un coin salon, ainsi que 1 salle de bains comportant une douche. Des serviettes et du linge de lit moyennant des frais supplémentaires.

Vous séjournerez à respectivement 20 km et 21 km de ces lieux d’intérêt : Métro Rond-point du Prado et Palais des congrès et des expositions Marseille Chanot. L'aéroport le plus proche (Aéroport de Marseille Provence) est à 46 km.Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",43.21526358272,5.533033671689
H097,C029,Carcassonne,Chambres d'hotes - Le Magnolia,9.5,https://www.booking.com/hotel/fr/b-amp-b-le-magnolia-carcassonne.fr.html,"L’établissement Chambres d'hotes - Le Magnolia se trouve à Carcassonne, à proximité de ces lieux d’intérêt : Memorial House (Maison des Memoires), Cathédrale Saint-Michel de Carcassonne et Comtal Castle. Il propose une connexion Wi-Fi gratuite, un jardin et une terrasse.

Les hébergements sont dotés d’un coin salon avec une télévision à écran plat, ainsi que d’une salle de bains privative comprenant des articles de toilette gratuits, un sèche-cheveux et une douche. Des serviettes et du linge de lit moyennant des frais supplémentaires.

L'aéroport le plus proche (Aéroport de Carcassonne) est à 4 km.Les couples apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de9,3pour un séjour à deux.Les distances indiquées dans la description de l'établissement sont calculées avec © OpenStreetMap.",43.215548,2.355568
